image_path,label_path,code,is_pair
/mnt/data/pillsnap_dataset/data/train/images/single/TS_3_single/K-004617/K-004617_0_1_1_0_75_160_200.png,/mnt/data/pillsnap_dataset/data/train/labels/single/TL_3_single/K-004617_json/K-004617_0_1_1_0_75_160_200.json,K-004617_0_1_1_0_75_160_200,True
/mnt/data/pillsnap_dataset/data/train/images/single/TS_3_single/K-005676/K-005676_0_1_1_0_70_320_200.png,/mnt/data/pillsnap_dataset/data/train/labels/single/TL_3_single/K-005676_json/K-005676_0_1_1_0_70_320_200.json,K-005676_0_1_1_0_70_320_200,True
/mnt/data/pillsnap_dataset/data/train/images/single/TS_32_single/K-007508/K-007508_0_1_0_0_70_020_200.png,/mnt/data/pillsnap_dataset/data/train/labels/single/TL_32_single/K-007508_json/K-007508_0_1_0_0_70_020_200.json,K-007508_0_1_0_0_70_020_200,True
/mnt/data/pillsnap_dataset/data/train/images/single/TS_29_single/K-005706/K-005706_0_2_0_2_75_180_200.png,/mnt/data/pillsnap_dataset/data/train/labels/single/TL_29_single/K-005706_json/K-005706_0_2_0_2_75_180_200.json,K-005706_0_2_0_2_75_180_200,True
/mnt/data/pillsnap_dataset/data/train/images/single/TS_6_single/K-011566/K-011566_0_0_1_1_70_080_200.png,/mnt/data/pillsnap_dataset/data/train/labels/single/TL_6_single/K-011566_json/K-011566_0_0_1_1_70_080_200.json,K-011566_0_0_1_1_70_080_200,True
/mnt/data/pillsnap_dataset/data/train/images/single/TS_6_single/K-010545/K-010545_0_2_0_1_75_260_200.png,/mnt/data/pillsnap_dataset/data/train/labels/single/TL_6_single/K-010545_json/K-010545_0_2_0_1_75_260_200.json,K-010545_0_2_0_1_75_260_200,True
/mnt/data/pillsnap_dataset/data/val/images/single/VS_10_single/K-044832/K-044832_0_1_1_2_90_260_200.png,/mnt/data/pillsnap_dataset/data/val/labels/single/VL_10_single/K-044832_json/K-044832_0_1_1_2_90_260_200.json,K-044832_0_1_1_2_90_260_200,True
/mnt/data/pillsnap_dataset/data/train/images/single/TS_7_single/K-013395/K-013395_0_2_1_2_90_080_200.png,/mnt/data/pillsnap_dataset/data/train/labels/single/TL_7_single/K-013395_json/K-013395_0_2_1_2_90_080_200.json,K-013395_0_2_1_2_90_080_200,True
/mnt/data/pillsnap_dataset/data/train/images/single/TS_20_single/K-055721/K-055721_0_0_1_2_90_340_200.png,/mnt/data/pillsnap_dataset/data/train/labels/single/TL_20_single/K-055721_json/K-055721_0_0_1_2_90_340_200.json,K-055721_0_0_1_2_90_340_200,True
/mnt/data/pillsnap_dataset/data/train/images/single/TS_70_single/K-032310/K-032310_0_0_1_2_90_120_200.png,/mnt/data/pillsnap_dataset/data/train/labels/single/TL_70_single/K-032310_json/K-032310_0_0_1_2_90_120_200.json,K-032310_0_0_1_2_90_120_200,True
/mnt/data/pillsnap_dataset/data/train/images/single/TS_2_single/K-002256/K-002256_0_0_0_0_60_340_200.png,/mnt/data/pillsnap_dataset/data/train/labels/single/TL_2_single/K-002256_json/K-002256_0_0_0_0_60_340_200.json,K-002256_0_0_0_0_60_340_200,True
/mnt/data/pillsnap_dataset/data/train/images/single/TS_50_single/K-020558/K-020558_0_1_0_1_60_220_200.png,/mnt/data/pillsnap_dataset/data/train/labels/single/TL_50_single/K-020558_json/K-020558_0_1_0_1_60_220_200.json,K-020558_0_1_0_1_60_220_200,True
/mnt/data/pillsnap_dataset/data/train/images/single/TS_26_single/K-003487/K-003487_0_2_0_0_90_180_200.png,/mnt/data/pillsnap_dataset/data/train/labels/single/TL_26_single/K-003487_json/K-003487_0_2_0_0_90_180_200.json,K-003487_0_2_0_0_90_180_200,True
/mnt/data/pillsnap_dataset/data/train/images/single/TS_16_single/K-036625/K-036625_0_1_0_1_90_040_200.png,/mnt/data/pillsnap_dataset/data/train/labels/single/TL_16_single/K-036625_json/K-036625_0_1_0_1_90_040_200.json,K-036625_0_1_0_1_90_040_200,True
/mnt/data/pillsnap_dataset/data/train/images/single/TS_7_single/K-012266/K-012266_0_0_0_2_90_260_200.png,/mnt/data/pillsnap_dataset/data/train/labels/single/TL_7_single/K-012266_json/K-012266_0_0_0_2_90_260_200.json,K-012266_0_0_0_2_90_260_200,True
/mnt/data/pillsnap_dataset/data/train/images/single/TS_1_single/K-000654/K-000654_0_1_0_0_70_340_200.png,/mnt/data/pillsnap_dataset/data/train/labels/single/TL_1_single/K-000654_json/K-000654_0_1_0_0_70_340_200.json,K-000654_0_1_0_0_70_340_200,True
/mnt/data/pillsnap_dataset/data/train/images/single/TS_77_single/K-036670/K-036670_0_2_0_1_90_040_200.png,/mnt/data/pillsnap_dataset/data/train/labels/single/TL_77_single/K-036670_json/K-036670_0_2_0_1_90_040_200.json,K-036670_0_2_0_1_90_040_200,True
