image_path,label_path,code,is_pair
/mnt/data/pillsnap_dataset/data/train/images/single/TS_1_single/K-000114/K-000114_0_2_0_0_75_260_200.png,/mnt/data/pillsnap_dataset/data/train/labels/single/TL_1_single/K-000114_json/K-000114_0_2_0_0_75_260_200.json,K-000114_0_2_0_0_75_260_200,True
/mnt/data/pillsnap_dataset/data/train/images/single/TS_1_single/K-000573/K-000573_0_0_0_1_60_240_200.png,/mnt/data/pillsnap_dataset/data/train/labels/single/TL_1_single/K-000573_json/K-000573_0_0_0_1_60_240_200.json,K-000573_0_0_0_1_60_240_200,True
/mnt/data/pillsnap_dataset/data/train/images/single/TS_2_single/K-001732/K-001732_0_0_0_0_75_020_200.png,/mnt/data/pillsnap_dataset/data/train/labels/single/TL_2_single/K-001732_json/K-001732_0_0_0_0_75_020_200.json,K-001732_0_0_0_0_75_020_200,True
/mnt/data/pillsnap_dataset/data/train/images/single/TS_2_single/K-002005/K-002005_0_2_0_0_75_120_200.png,/mnt/data/pillsnap_dataset/data/train/labels/single/TL_2_single/K-002005_json/K-002005_0_2_0_0_75_120_200.json,K-002005_0_2_0_0_75_120_200,True
/mnt/data/pillsnap_dataset/data/train/images/single/TS_24_single/K-002236/K-002236_0_0_0_1_75_080_200.png,/mnt/data/pillsnap_dataset/data/train/labels/single/TL_24_single/K-002236_json/K-002236_0_0_0_1_75_080_200.json,K-002236_0_0_0_1_75_080_200,True
/mnt/data/pillsnap_dataset/data/train/images/single/TS_2_single/K-003049/K-003049_0_1_1_2_70_240_200.png,/mnt/data/pillsnap_dataset/data/train/labels/single/TL_2_single/K-003049_json/K-003049_0_1_1_2_70_240_200.json,K-003049_0_1_1_2_70_240_200,True
/mnt/data/pillsnap_dataset/data/train/images/single/TS_27_single/K-004094/K-004094_0_0_1_1_75_060_200.png,/mnt/data/pillsnap_dataset/data/train/labels/single/TL_27_single/K-004094_json/K-004094_0_0_1_1_75_060_200.json,K-004094_0_0_1_1_75_060_200,True
/mnt/data/pillsnap_dataset/data/train/images/single/TS_3_single/K-004637/K-004637_0_0_0_2_75_220_200.png,/mnt/data/pillsnap_dataset/data/train/labels/single/TL_3_single/K-004637_json/K-004637_0_0_0_2_75_220_200.json,K-004637_0_0_0_2_75_220_200,True
/mnt/data/pillsnap_dataset/data/train/images/single/TS_3_single/K-005208/K-005208_0_2_0_1_90_320_200.png,/mnt/data/pillsnap_dataset/data/train/labels/single/TL_3_single/K-005208_json/K-005208_0_2_0_1_90_320_200.json,K-005208_0_2_0_1_90_320_200,True
/mnt/data/pillsnap_dataset/data/train/images/single/TS_4_single/K-006886/K-006886_0_0_1_1_75_020_200.png,/mnt/data/pillsnap_dataset/data/train/labels/single/TL_4_single/K-006886_json/K-006886_0_0_1_1_75_020_200.json,K-006886_0_0_1_1_75_020_200,True
