image_path,mapping_code,image_type,source
/home/max16/pillsnap_data/train/images/combination/TS_7_combo/K-015280-020014-020238/K-015280-020014-020238_0_2_0_2_90_000_200.png,K-015280,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_2_combo/K-003544-010221-016548-027926/K-003544-010221-016548-027926_0_2_0_2_70_000_200.png,K-003544,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_2_combo/K-002483-005094-005886-019552/K-002483-005094-005886-019552_0_2_0_2_75_000_200.png,K-002483,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_6_combo/K-010487-026993-030850-038972/K-010487-026993-030850-038972_0_2_0_2_90_000_200.png,K-010487,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_3_combo/K-003743-004378-019552-038954/K-003743-004378-019552-038954_0_2_0_2_70_000_200.png,K-003743,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_3_combo/K-004378-005002-005094-019552/K-004378-005002-005094-019552_0_2_0_2_75_000_200.png,K-004378,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_3_combo/K-003614-020238-025469-028763/K-003614-020238-025469-028763_0_2_0_2_90_000_200.png,K-003614,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_5_combo/K-006697-006835-029711-038927/K-006697-006835-029711-038927_0_2_0_2_70_000_200.png,K-006697,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_7_combo/K-013004-023319-024941-044266/K-013004-023319-024941-044266_0_2_0_2_70_000_200.png,K-013004,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_8_combo/K-016232-020877-022347-038723/K-016232-020877-022347-038723_0_2_0_2_70_000_200.png,K-016232,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_2_combo/K-003483-016262-019861-022347/K-003483-016262-019861-022347_0_2_0_2_70_000_200.png,K-003483,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_6_combo/K-011220-027777-030308-035206/K-011220-027777-030308-035206_0_2_0_2_75_000_200.png,K-011220,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_1_combo/K-000250-002483-022362-022627/K-000250-002483-022362-022627_0_2_0_2_70_000_200.png,K-000250,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_4_combo/K-004378-012778-025438-037777/K-004378-012778-025438-037777_0_2_0_2_90_000_200.png,K-004378,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_5_combo/K-006835-023319-026455-041149/K-006835-023319-026455-041149_0_2_0_2_90_000_200.png,K-006835,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_8_combo/K-016235-020238-020877-028763/K-016235-020238-020877-028763_0_2_0_2_90_000_200.png,K-016235,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_7_combo/K-013900-020238-024752/K-013900-020238-024752_0_2_0_2_70_000_200.png,K-013900,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_3_combo/K-003614-016262-020877-034597/K-003614-016262-020877-034597_0_2_0_2_90_000_200.png,K-003614,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_4_combo/K-005002-005094-005886-022627/K-005002-005094-005886-022627_0_2_0_2_70_000_200.png,K-005002,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_2_combo/K-002483-004378-005094-019552/K-002483-004378-005094-019552_0_2_0_2_70_000_200.png,K-002483,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_3_combo/K-003832-016232-020259/K-003832-016232-020259_0_2_0_2_90_000_200.png,K-003832,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_7_combo/K-012638-024941-029711-030850/K-012638-024941-029711-030850_0_2_0_2_70_000_200.png,K-012638,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_5_combo/K-006835-026993-038972-044266/K-006835-026993-038972-044266_0_2_0_2_90_000_200.png,K-006835,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_8_combo/K-016232-020852-033880/K-016232-020852-033880_0_2_0_2_90_000_200.png,K-016232,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_2_combo/K-003351-013900-036637/K-003351-013900-036637_0_2_0_2_70_000_200.png,K-003351,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_8_combo/K-016235-025469-031885-035206/K-016235-025469-031885-035206_0_2_0_2_75_000_200.png,K-016235,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_8_combo/K-015710-025469-031885-036637/K-015710-025469-031885-036637_0_2_0_2_70_000_200.png,K-015710,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_6_combo/K-012247-016551-018110-033009/K-012247-016551-018110-033009_0_2_0_2_90_000_200.png,K-012247,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_4_combo/K-004378-006192-013161-025438/K-004378-006192-013161-025438_0_2_0_2_90_000_200.png,K-004378,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_1_combo/K-001866-005002-005886-012778/K-001866-005002-005886-012778_0_2_0_2_90_000_200.png,K-001866,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_8_combo/K-016206-021325-031863/K-016206-021325-031863_0_2_0_2_70_000_200.png,K-016206,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_7_combo/K-012638-024941-029711-030850/K-012638-024941-029711-030850_0_2_0_2_90_000_200.png,K-012638,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_2_combo/K-003351-019232-029667/K-003351-019232-029667_0_2_1_2_75_000_200.png,K-003351,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_3_combo/K-003544-012420-016548-031705/K-003544-012420-016548-031705_0_2_0_2_70_000_200.png,K-003544,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_3_combo/K-003614-027777-031885-035206/K-003614-027777-031885-035206_0_2_0_2_75_000_200.png,K-003614,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_3_combo/K-003743-022362-022627-038954/K-003743-022362-022627-038954_0_2_0_2_90_000_200.png,K-003743,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_5_combo/K-010487-019881-020004-026993/K-010487-019881-020004-026993_0_2_0_2_75_000_200.png,K-010487,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_3_combo/K-003614-020238-020877-022347/K-003614-020238-020877-022347_0_2_0_2_90_000_200.png,K-003614,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_6_combo/K-012638-019881-023319-043233/K-012638-019881-023319-043233_0_2_0_2_70_000_200.png,K-012638,combination,train
/home/max16/pillsnap_data/train/images/combination/TS_3_combo/K-003743-005886-006192-038954/K-003743-005886-006192-038954_0_2_0_2_70_000_200.png,K-003743,combination,train
